% NTS
%Depth	Dip_Direction from north	Dip_Angle	Criticality
3313.5   289.6       55          1
3314.2   259.600006  40.099998   0
3315.8   273.299988  45.299999   0
3316.7   273.899994  55.299999   0
3317.4   262.799988  57          0
3317.6   279.100006  47.900002   0
3318.0   263.5       49.700001   0
3318.6   272         45.599998   0
3319.5   242.600006  43.099998   0
3320.5   279.100006  34.200001   0
3321.3   300.700012  37.400002   0
3322.5   79.599998   64.800003   0
3323.9   195.699997  37.400002   0
3324.9   255.699997  14.3        0
3325.5   280.399994  40.400002   0
3326.8   258.899994  51.900002   0
3327.2   296.7       53.7        1
3328.9   25.4        9.6         0
3329.4   277.200012  50          0
3331.0   285.700012  30.799999   0
3331.7   258.299988  43.099998   0
3333.4   268.700012  50.200001   0
3334.2   238         48.099998   0
3335.7   53.5        14.4        0
3337.1   265.399994  65          0
3337.3   258.299988  72.099998   0
3338.5   245.199997  66.599998   0
3339.3   297.399994  50.200001   0
3340.6   293.5       58.5        1
3341.9   5.2         23.200001   0
3342.8   259.600006  52.099998   0
3343.4   290.9       50.2        0
3344.3   260.899994  55.599998   0
3345.6   243.899994  43.299999   0
3347.7   223.699997  14.5        0
3348.9   279.100006  35.5        0
3349.4   305.2       60.2        1
3351.0   249.800003  38.900002   0
3353.5   279.799988  41.200001   0
3354.0   274.600006  33.900002   0
3355.9   246.5       43.299999   0
3360.5   303.9       41.2        0
3361.1   154.600006  7.7         0
3375.5   117.4       52.6        1
3376.0   140.899994  3.7         0
3377.2   183.3       68.6        1
3378.6   176.100006  24.6        0
3379.5   171.5       48          0
3383.6   263.5       21.4        0
3384.1   280.4       53.9        0
3385.0   30          7.5         0
3389.8   185.9       56.4        1
3391.5   265.399994  52.599998   0
3393.2   209.300003  27.6        0
3394.7   223         33.200001   0
3395.1   70.400002   3.7         0
3397.1   294.8       50.1        0
3410.8   240.699997  42.900002   0
3411.3   56.099998   55.599998   0
3415.7   287.600006  42.5        0
3415.7   287.6       42.5        0
3416.0   260.899994  30.5        0
3421.6   132.399994  30.5        0
3422.1   191.7       67          1
3424     150         62.2        1
3425.6   166.3       67          1
3426.4   175.4       67          1
3431.2   135         46.6        0
3438.2   101.699997  42.799999   0
3440.5   218.5       38.400002   0
3441.3   200.899994  40.700001   0
3442.3   257         51.5        0
3443.5   262.799988  52.5        0
3444     277.8       59.8        0
3444.5   241.300003  56.5        0
3445.8   212.600006  52.5        0
3446.4   172.8       58.7        1
3448.4   257         41.700001   0
3451.7   77          34.400002   0
3452.2   42.400002   31.700001   0
3452.6   241.300003  7.8         0
3454     188.5       64.1        1
